instruct_text,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2840763170388527,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_13_1213,part1_subjective_segmentation,3.0.4,59.975932382741846,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4028261409839615,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_13_1213,part1_subjective_segmentation,3.0.4,59.975932382741846,
There are 4 parts of the experiment. ,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.26924946304643527,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_13_1213,part1_subjective_segmentation,3.0.4,59.975932382741846,
1,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.18651926098391414,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_13_1213,part1_subjective_segmentation,3.0.4,59.975932382741846,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.13604575803037733,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_13_1213,part1_subjective_segmentation,3.0.4,59.975932382741846,
"For each short story, you'll be assigned one of these perspectives to assume while you read it. ",,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10288280399981886,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_13_1213,part1_subjective_segmentation,3.0.4,59.975932382741846,
"In this first part of the experiment, you'll learn 4 questions associated with each perspective that you'll use when reading the stories with that particular perspective. ",,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.08632619201671332,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_13_1213,part1_subjective_segmentation,3.0.4,59.975932382741846,
The 4 questions for each perspective are learned with quizzes. ,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10264445195207372,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_13_1213,part1_subjective_segmentation,3.0.4,59.975932382741846,
2,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11909477197332308,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_13_1213,part1_subjective_segmentation,3.0.4,59.975932382741846,
"In the second part of the experiment, you will read 8 short stories. ",,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10069496801588684,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_13_1213,part1_subjective_segmentation,3.0.4,59.975932382741846,
